work_year,job_title,job_category,employee_residence,experience_level,employment_type,work_setting,company_location,company_size,salary_in_euros,cost_of_living,purchasing_power,job_field
2023,Machine Learning Engineer,Machine Learning and AI,United States,3,4,3,United States,2,193200,143.34,1347.84,Data Science
2023,Machine Learning Engineer,Machine Learning and AI,United States,3,4,3,United States,2,135240,143.34,943.49,Data Science
2023,Data Engineer,Data Engineering,United States,3,4,3,United States,2,267076,143.34,1863.23,Data Engineering
2023,Data Engineer,Data Engineering,United States,3,4,3,United States,2,180950,143.34,1262.38,Data Engineering
2023,AI Engineer,Machine Learning and AI,United States,3,4,3,United States,2,202400,143.34,1412.03,Data Science
2023,AI Engineer,Machine Learning and AI,United States,3,4,3,United States,2,161920,143.34,1129.62,Data Science
2023,Machine Learning Engineer,Machine Learning and AI,United States,2,4,3,United States,2,161000,143.34,1123.2,Data Science
2023,Machine Learning Engineer,Machine Learning and AI,United States,2,4,3,United States,2,119600,143.34,834.38,Data Science
2023,Data Architect,Data Architecture and Modeling,United States,3,4,3,United States,2,170200,143.34,1187.39,Data Engineering
2023,Data Architect,Data Architecture and Modeling,United States,3,4,3,United States,2,138000,143.34,962.75,Data Engineering
2023,Data Engineer,Data Engineering,United States,3,4,3,United States,2,133400,143.34,930.65,Data Engineering
2023,Data Engineer,Data Engineering,United States,3,4,3,United States,2,105800,143.34,738.11,Data Engineering
2023,MLOps Engineer,Machine Learning and AI,United States,1,4,3,United States,2,122360,143.34,853.63,Data Science
2023,MLOps Engineer,Machine Learning and AI,United States,1,4,3,United States,2,53636,143.34,374.19,Data Science
2023,Analytics Engineer,Leadership and Management,United States,3,4,3,United States,2,105800,143.34,738.11,Data Engineering
2023,Analytics Engineer,Leadership and Management,United States,3,4,3,United States,2,87400,143.34,609.74,Data Engineering
2023,Data Engineer,Data Engineering,United Kingdom,2,4,3,United Kingdom,2,101424,144.03,704.19,Data Engineering
2023,Data Engineer,Data Engineering,United Kingdom,2,4,3,United Kingdom,2,36222,144.03,251.49,Data Engineering
2023,Data Scientist,Data Science and Research,Spain,1,4,3,Spain,2,39732,113.82,349.08,Data Science
2023,Data Scientist,Data Science and Research,Spain,1,4,3,Spain,2,28805,113.82,253.08,Data Science
2023,Data Analyst,Data Analysis,United Kingdom,1,4,3,United Kingdom,2,84897,144.03,589.44,Data Analysis
2023,Data Analyst,Data Analysis,United Kingdom,1,4,3,United Kingdom,2,62258,144.03,432.26,Data Analysis
2023,Data Scientist,Data Science and Research,Ireland,3,4,2,Ireland,3,69530,157.19,442.33,Data Science
2023,Deep Learning Engineer,Machine Learning and AI,Canada,3,4,1,Canada,2,279116,142.12,1963.95,Data Science
2023,Deep Learning Engineer,Machine Learning and AI,Canada,3,4,1,Canada,2,92015,142.12,647.45,Data Science
2023,Data Engineer,Data Engineering,United States,3,4,3,United States,2,211876,143.34,1478.14,Data Engineering
2023,Data Engineer,Data Engineering,United States,3,4,3,United States,2,128800,143.34,898.56,Data Engineering
2023,Data Engineer,Data Engineering,South Africa,3,4,3,South Africa,2,114940,70.41,1632.44,Data Engineering
2023,Data Engineer,Data Engineering,South Africa,3,4,3,South Africa,2,69966,70.41,993.69,Data Engineering
2023,Data Scientist,Data Science and Research,United States,3,4,3,United States,2,206816,143.34,1442.84,Data Science
2023,Data Scientist,Data Science and Research,United States,3,4,3,United States,2,120612,143.34,841.44,Data Science
2023,Data Scientist,Data Science and Research,United States,3,4,3,United States,2,237360,143.34,1655.92,Data Science
2023,Data Scientist,Data Science and Research,United States,3,4,3,United States,2,157320,143.34,1097.53,Data Science
2023,Data Engineer,Data Engineering,United States,3,4,3,United States,2,180320,143.34,1257.99,Data Engineering
2023,Data Engineer,Data Engineering,United States,3,4,3,United States,2,111320,143.34,776.62,Data Engineering
2023,Data Engineer,Data Engineering,United States,3,4,3,United States,2,180136,143.34,1256.7,Data Engineering
2023,Data Engineer,Data Engineering,United States,3,4,3,United States,2,157780,143.34,1100.74,Data Engineering
2023,Data Modeler,Data Architecture and Modeling,United States,2,4,3,United States,2,152720,143.34,1065.44,Data Engineering
2023,Data Modeler,Data Architecture and Modeling,United States,2,4,3,United States,2,67252,143.34,469.18,Data Engineering
2023,Data Scientist,Data Science and Research,United States,2,4,3,United States,2,202400,143.34,1412.03,Data Science
2023,Data Scientist,Data Science and Research,United States,2,4,3,United States,2,147200,143.34,1026.93,Data Science
2023,Data Scientist,Data Science and Research,United States,1,4,3,United States,2,78200,143.34,545.56,Data Science
2023,Data Scientist,Data Science and Research,United States,1,4,3,United States,2,59800,143.34,417.19,Data Science
2023,Machine Learning Engineer,Machine Learning and AI,United States,2,4,3,United States,2,202400,143.34,1412.03,Data Science
2023,Machine Learning Engineer,Machine Learning and AI,United States,2,4,3,United States,2,92000,143.34,641.83,Data Science
2023,Data Scientist,Data Science and Research,United States,3,4,3,United States,2,170200,143.34,1187.39,Data Science
2023,Data Scientist,Data Science and Research,United States,3,4,3,United States,2,139840,143.34,975.58,Data Science
2023,Data Scientist,Data Science and Research,Spain,3,4,3,Spain,2,44698,113.82,392.71,Data Science
2023,Data Scientist,Data Science and Research,Spain,3,4,3,Spain,2,35758,113.82,314.16,Data Science
2023,Research Engineer,Data Science and Research,United States,2,4,3,United States,2,202400,143.34,1412.03,Data Science
2023,Research Engineer,Data Science and Research,United States,2,4,3,United States,2,92000,143.34,641.83,Data Science
2023,Data Analyst,Data Analysis,Poland,3,4,1,Poland,2,101200,70.08,1444.06,Data Analysis
2023,Data Analyst,Data Analysis,Poland,3,4,1,Poland,2,73600,70.08,1050.23,Data Analysis
2023,Data Analyst,Data Analysis,United Kingdom,3,4,1,United Kingdom,1,33959,144.03,235.78,Data Analysis
2023,Data Scientist,Data Science and Research,United States,3,4,3,United States,2,138184,143.34,964.03,Data Science
2023,Data Scientist,Data Science and Research,United States,3,4,3,United States,2,65320,143.34,455.7,Data Science
2023,Data Engineer,Data Engineering,United States,3,4,3,United States,2,153824,143.34,1073.14,Data Engineering
2023,Data Engineer,Data Engineering,United States,3,4,3,United States,2,122360,143.34,853.63,Data Engineering
2023,Data Engineer,Data Engineering,United States,3,4,3,United States,2,53728,143.34,374.83,Data Engineering
2023,Data Scientist,Data Science and Research,United States,2,4,3,United States,2,124200,143.34,866.47,Data Science
2023,Data Scientist,Data Science and Research,United States,2,4,3,United States,2,101200,143.34,706.01,Data Science
2023,Data Product Owner,Leadership and Management,United Kingdom,2,4,3,United Kingdom,2,96217,144.03,668.03,Other
2023,Data Product Owner,Leadership and Management,United Kingdom,2,4,3,United Kingdom,2,67918,144.03,471.55,Other
2023,Data Scientist,Data Science and Research,United States,3,4,3,United States,2,172421,143.34,1202.88,Data Science
2023,Data Scientist,Data Science and Research,United States,3,4,3,United States,2,104953,143.34,732.2,Data Science
2023,Data Engineer,Data Engineering,United States,2,4,3,United States,2,152720,143.34,1065.44,Data Engineering
2023,Data Engineer,Data Engineering,United States,2,4,3,United States,2,67252,143.34,469.18,Data Engineering
2023,Machine Learning Engineer,Machine Learning and AI,Canada,3,4,3,Canada,2,281888,142.12,1983.45,Data Science
2023,Machine Learning Engineer,Machine Learning and AI,Canada,3,4,3,Canada,2,155204,142.12,1092.06,Data Science
2023,Data Analyst,Data Analysis,United Kingdom,1,4,3,United Kingdom,2,30336,144.03,210.62,Data Analysis
2023,Data Analyst,Data Analysis,United States,3,4,1,United States,2,151800,143.34,1059.02,Data Analysis
2023,Data Analyst,Data Analysis,United States,3,4,1,United States,2,128800,143.34,898.56,Data Analysis
2023,Analytics Engineer,Leadership and Management,United States,2,4,1,United States,2,138000,143.34,962.75,Data Engineering
