work_year,job_title,job_category,employee_residence,experience_level,employment_type,work_setting,company_location,company_size,salary_in_euros
2023,Data Scientist,Data Science and Research,United States,Mid-level,Full-time,In-person,United States,M,55200
2023,Data Scientist,Data Science and Research,United States,Mid-level,Full-time,In-person,United States,M,50600
2023,Data Engineer,Data Engineering,United States,Mid-level,Full-time,In-person,United States,M,230000
2023,Data Engineer,Data Engineering,United States,Mid-level,Full-time,In-person,United States,M,115000
2023,Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,Remote,United States,M,174800
2023,Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,Remote,United States,M,156400
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,Remote,United States,M,186392
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,Remote,United States,M,155296
2023,Data Engineer,Data Engineering,United States,Mid-level,Full-time,Remote,United States,M,121440
2023,Data Engineer,Data Engineering,United States,Mid-level,Full-time,Remote,United States,M,102120
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,Remote,United States,M,186760
2023,Data Scientist,Data Science and Research,United States,Senior,Full-time,Remote,United States,M,116840
2023,Business Intelligence Analyst,BI and Visualization,United States,Mid-level,Full-time,Remote,United States,M,115008
2023,Business Intelligence Analyst,BI and Visualization,United States,Mid-level,Full-time,Remote,United States,M,76671
2023,Data Analyst,Data Analysis,United States,Senior,Full-time,Remote,United States,M,103224
2023,Data Analyst,Data Analysis,United States,Senior,Full-time,Remote,United States,M,84456
2023,Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,In-person,United States,M,184000
2023,Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,In-person,United States,M,147200
2023,AI Developer,Machine Learning and AI,France,Senior,Full-time,Hybrid,France,M,148995
2023,Data Engineer,Data Engineering,United States,Mid-level,Full-time,In-person,United States,M,147200
2023,Data Scientist,Data Science and Research,United States,Entry-level,Part-time,In-person,United States,M,122360
2023,Data Scientist,Data Science and Research,United States,Entry-level,Part-time,In-person,United States,M,53636
2023,Data Engineer,Data Engineering,United States,Senior,Full-time,In-person,United States,M,233680
2023,Data Engineer,Data Engineering,United States,Senior,Full-time,In-person,United States,M,146280
2023,Data Engineer,Data Engineering,United States,Senior,Full-time,In-person,United States,M,156400
2023,Data Engineer,Data Engineering,United States,Senior,Full-time,In-person,United States,M,78200
