"country","NumbeoCoL2023","NumbeoCoLPlusRent2023","costOfLivingLC","costOfLivingByCountry_cl_expatistan","costOfLivingByCountry_cl_globalEcon","NumbeoLocalPurchasingPowerIndex2023"
"Jersey",82.6,69.6,,,,67.8
"Tonga",,,1035,,,
"Seychelles",,,1725,,94.81,
"Aruba",,,,,118.56,
"Saint Vincent and the Grenadines",,,,,95.93,
"Antigua and Barbuda",,,1465,,131.03,
"Andorra",,,1232,159,,
"Dominica",,,856,,99.61,
"Cayman Islands",115.4,98.5,2844,,,71.4
"Bermuda",141.1,118.2,,292,225.86,75.9
"Guernsey",71.8,60.5,,,,79.2
"Saint Kitts and Nevis",,,1145,,,
"Marshall Islands",,,1464,,,
"Liechtenstein",,,2306,,,
"Monaco",,,3743,,,
"San Marino",,,1168,,,
"Palau",,,1040,,,
"Nauru",,,584,,,
"Tuvalu",,,608,,,
